,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
5530,3.50E+07,New Line Cinema,USA,Seth Gordon,Comedy,117538559,Horrible Bosses,R,08/07/2011,106,6.9,Jason Bateman,375032,Michael Markowitz,2011
5531,6.00E+07,DreamWorks,USA,D.J. Caruso,Action,55100437,I Am Number Four,PG-13,18/02/2011,109,6.1,Alex Pettyfer,205616,Alfred Gough,2011
5532,6500000,See-Saw Films,UK,Steve McQueen,Drama,4000304,Shame,NC-17,16/03/2012,101,7.2,Michael Fassbender,158515,Steve McQueen,2011
5533,4.00E+07,Dimension Films,USA,Wes Craven,Horror,38180928,Scream 4,R,15/04/2011,111,6.2,Neve Campbell,110371,Kevin Williamson,2011
5534,3.50E+07,Screen Gems,USA,Will Gluck,Comedy,55802754,Friends with Benefits,R,22/07/2011,109,6.6,Mila Kunis,292555,Keith Merryman,2011
5535,2.00E+07,Columbia Pictures,USA,Jake Kasdan,Comedy,100292856,Bad Teacher,R,24/06/2011,92,5.7,Cameron Diaz,169725,Gene Stupnitsky,2011
5536,1.50E+08,Paramount Pictures,USA,Martin Scorsese,Adventure,73864507,Hugo,PG,23/11/2011,126,7.5,Asa Butterfield,264187,John Logan,2011
5537,1.00E+06,Snoot Entertainment,USA,Adam Wingard,Horror,18474268,You're Next,R,23/08/2013,95,6.5,Sharni Vinson,70259,Simon Barrett,2011
5538,5.00E+07,Columbia Pictures,USA,Bennett Miller,Biography,75605492,Moneyball,PG-13,23/09/2011,133,7.6,Brad Pitt,302465,Steven Zaillian,2011
5539,1.50E+07,Focus Features,USA,Lone Scherfig,Drama,13843771,One Day,PG-13,19/08/2011,107,7,Anne Hathaway,116446,David Nicholls,2011
5541,2.50E+07,Paramount Pictures,USA,Ivan Reitman,Comedy,70662220,No Strings Attached,R,21/01/2011,108,6.2,Natalie Portman,181844,Elizabeth Meriwether,2011
5542,1.10E+08,Summit Entertainment,USA,Bill Condon,Adventure,281287133,The Twilight Saga: Breaking Dawn - Part 1,PG-13,18/11/2011,117,4.9,Kristen Stewart,193280,Melissa Rosenberg,2011
5543,7.00E+06,BBC Films,UK,Lynne Ramsay,Drama,1738692,We Need to Talk About Kevin,R,13/01/2012,112,7.5,Tilda Swinton,108592,Lynne Ramsay,2011
5544,1.25E+08,Warner Bros.,USA,Guy Ritchie,Action,186848418,Sherlock Holmes: A Game of Shadows,PG-13,16/12/2011,129,7.5,Robert Downey Jr.,365008,Michele Mulroney,2011
